STA_LOC,RENT_ID,RENT_NO,RENT_NM,RENT_ID_NM,HOLD_NUM,STA_ADD1,STA_ADD2,STA_LAT,STA_LONG,START_INDEX,END_INDEX,RNUM
마포구,ST-10,00108,서교동 사거리,108. 서교동 사거리,12,서울특별시 마포구 양화로 93,427,37.55274582,126.91861725,0,0,1
광진구,ST-100,00503,더샵스타시티 C동 앞,503. 더샵스타시티 C동 앞,15,서울특별시 광진구 아차산로 262,더샵스타시티 C동 앞,37.53666687,127.07359314,0,0,2
양천구,ST-1000,00729,서부식자재마트 건너편,729. 서부식자재마트 건너편,10,서울특별시 양천구 신정동 236 ,서부식자재마트 건너편,37.51037979,126.86679840,0,0,3
양천구,ST-1002,00731,서울시 도로환경관리센터,731. 서울시 도로환경관리센터,10,서울특별시 양천구 목동동로 316-6,서울시 도로환경관리센터,37.52989960,126.87654114,0,0,4
양천구,ST-1003,00732,신월중학교,732. 신월중학교,10,서울특별시 양천구 화곡로 59,신월동 이마트,37.53955078,126.82830048,0,0,5
양천구,ST-1004,00733,신정이펜하우스314동,733. 신정이펜하우스314동,10,서울특별시 양천구 신정이펜1로50 ,신정이펜하우스314동,37.51409912,126.83100128,0,0,6
양천구,ST-1005,00734,신트리공원 입구,734. 신트리공원 입구,10,서울특별시 양천구 신정동 310-8 ,신트리공원 입구,37.51395035,126.85605621,0,0,7
양천구,ST-1006,00735,영도초등학교,735. 영도초등학교,10,서울특별시 양천구 목동중앙로 70 서울영도초등학교,,37.53637695,126.87151337,0,0,8
양천구,ST-1007,00736,오솔길공원,736. 오솔길공원,10,서울특별시 양천구 남부순환로70길11-9,오솔길공원,37.52219009,126.83670044,0,0,9
양천구,ST-1008,00737,장수공원,737. 장수공원,20,서울특별시 양천구 신정동 1235,,37.52231216,126.84904480,0,0,10
광진구,ST-101,00504,신자초교입구교차로,504. 신자초교입구교차로,9,서울특별시 광진구 뚝섬로 596,신자초교입구교차로,37.53297043,127.07593536,0,0,11
양천구,ST-1010,00739,신월사거리,739. 신월사거리,13,서울특별시 양천구 남부순환로 334,,37.53699493,126.82728577,0,0,12
양천구,ST-1011,00740,으뜸공원,740. 으뜸공원,8,서울특별시 양천구 가로공원로 133,으뜸공원,37.53636932,126.83171082,0,0,13
양천구,ST-1012,00741,화곡로 입구 교차로,741. 화곡로 입구 교차로,10,서울특별시 양천구 신월동 258,화곡로 입구 교차로,37.53952026,126.82540131,0,0,14
양천구,ST-1013,00742,등촌역 5번 출구 뒤,742. 등촌역 5번 출구 뒤,10,서울특별시 양천구 등촌로 236,등촌역 5번 출구 뒤,37.55073166,126.86457825,0,0,15
양천구,ST-1014,00743,현대6차아파트 101동 옆,743. 현대6차아파트 101동 옆,22,서울특별시 양천구 신정동 735-5,현대6차아파트 101동 옆,37.50889969,126.84268188,0,0,16
양천구,ST-1015,00744,신목동역 2번 출구,744. 신목동역 2번 출구,40,서울특별시 양천구 목동중앙로 212 앞,신목동역 2번 출구,37.54384232,126.88254547,0,0,17
양천구,ST-1016,00745,강서초등학교,745. 강서초등학교,10,서울특별시 양천구 오목로 31 부근,강서초등학교,37.52228165,126.83969879,0,0,18
양천구,ST-1017,00746,목동2단지 상가,746. 목동2단지 상가,10,서울특별시 양천구 목동 902-5 ,목동2단지 상가,37.53650284,126.87774658,0,0,19
양천구,ST-1018,00747,목동3단지 상가,747. 목동3단지 상가,10,서울특별시 양천구 목동 903-6,목동3단지 상가,37.53458023,126.87564850,0,0,20
양천구,ST-1019,00748,목동운동장,748. 목동운동장,15,서울특별시 양천구 안양천로 939,목동운동장,37.53025055,126.87930298,0,0,21
광진구,ST-102,00505,자양사거리 광진아크로텔 앞,505. 자양사거리 광진아크로텔 앞,11,서울특별시 광진구 아차산로 355,타워더모스트 광진아크로텔,37.53701019,127.08224487,0,0,22
은평구,ST-1020,00934,신사동 성당,934. 신사동 성당,10,서울특별시 은평구 신사동 41-3,신사동 성당,37.59714127,126.90959930,0,0,23
은평구,ST-1021,00935,역촌역 1번 출구,935. 역촌역 1번 출구,7,서울특별시 은평구 역촌동 17-55,역촌역 1번 출구,37.60520172,126.92211151,0,0,24
은평구,ST-1023,00937,상림마을 롯데캐슬2단지 옆,937. 상림마을 롯데캐슬2단지 옆,10,서울특별시 은평구 진관동 30-23,상림마을 롯데캐슬2단지 옆,37.64585114,126.92379761,0,0,25
은평구,ST-1024,00938,금암 문화공원,938. 금암 문화공원,10,서울특별시 은평구 진관동 44-28 ,금암 문화공원,37.64468384,126.91845703,0,0,26
은평구,ST-1025,00939,은평구청 교차로,939. 은평구청 교차로,15,서울특별시 은평구 응암동 82-31,은평구청 교차로,37.60169983,126.92742157,0,0,27
은평구,ST-1027,00941,은평뉴타운 도서관,941. 은평뉴타운 도서관,13,서울특별시 은평구 진관동 141-27,은평뉴타운 도서관,37.63722229,126.93330383,0,0,28
은평구,ST-1028,00942,상림마을 생태공원,942. 상림마을 생태공원,9,서울특별시 은평구 진관동 16-4,상림마을 생태공원,37.64408112,126.92928314,0,0,29
은평구,ST-1029,00943,은평구청 보건소,943. 은평구청 보건소,8,서울특별시 은평구 녹번동 84,은평구청 보건소,37.60240173,126.92864990,0,0,30
성동구,ST-103,00506,금호 어울림 아파트 앞,506. 금호 어울림 아파트 앞,7,서울특별시 성동구 광나루로 249,송정금호어울림 아파트 앞,37.54906082,127.05779266,0,0,31
은평구,ST-1031,00945,기자촌 사거리 A,945. 기자촌 사거리 A,10,서울특별시 은평구 진관동 149-17,기자촌 사거리,37.63414001,126.93234253,0,0,32
은평구,ST-1032,00946,독바위역,946. 독바위역 ,16,서울특별시 은평구 불광로 129,독바위역 ,37.61843872,126.93288422,0,0,33
은평구,ST-1033,00947,연신내 선일하이츠빌 정류소,947. 연신내 선일하이츠빌 정류소,10,서울특별시 은평구 불광동 484-165,연신내 선일하이츠빌 정류소,37.62266922,126.91999054,0,0,34
은평구,ST-1034,00948,디지털미디어 시티역 4번출구(DMC역),948. 디지털미디어 시티역 4번출구(DMC역),10,서울특별시 은평구 증산동 239,디지털미디어 시티역 4번출구,37.57720184,126.90235138,0,0,35
은평구,ST-1035,00949,연신내역 1번 출구,949. 연신내역 1번 출구 ,6,서울특별시 은평구 불광동 487-2,연신내역 1번 출구 ,37.61978149,126.92080688,0,0,36
은평구,ST-1036,00950,구산역 2번 출구 예일여고 버스정류장,950. 구산역 2번 출구 예일여고 버스정류장,10,서울특별시 은평구 연서로 124,,37.60980225,126.91679382,0,0,37
은평구,ST-1037,00951,연신내역 6번출구옆,951. 연신내역 6번출구옆,15,서울특별시 은평구 갈현동 389-15 ,연신내역 6번출구옆,37.61930466,126.92059326,0,0,38
은평구,ST-1038,00952,서울연신중학교,952. 서울연신중학교,10,서울특별시 은평구 불광동 400-4번지,서울연신중학교,37.62265015,126.92524719,0,0,39
은평구,ST-1039,00953,서울연신초등학교,953. 서울연신초등학교,10,서울특별시 은평구 불광동 73-1번지 ,서울연신초등학교,37.62577820,126.92881775,0,0,40
성동구,ST-104,00507,성수아이에스비즈타워 앞,507. 성수아이에스비즈타워 앞,7,서울특별시 성동구 성수이로 147,아이에스비즈타워 앞,37.54820251,127.05711365,0,0,41
강동구,ST-1040,01023,한국종합기술사옥 앞,1023. 한국종합기술사옥 앞,22,서울특별시 강동구 상일로6길 21 한국종합기술사옥,,37.54998398,127.17470551,0,0,42
강동구,ST-1041,01024,강동구청 앞,1024.  강동구청 앞,10,서울특별시 강동구 성내로 28 강동빌딩,,37.52929688,127.12315369,0,0,43
강동구,ST-1042,01025,상일초등학교,1025. 상일초등학교,10,서울특별시 강동구 상일동 440-3,상일초등학교,37.54684067,127.17251587,0,0,44
강동구,ST-1043,01026,대명초교 입구 교차로,1026. 대명초교 입구 교차로,14,서울특별시 강동구 명일동 59,,37.54653549,127.15583801,0,0,45
강동구,ST-1044,01027,프라자 아파트 앞,1027. 프라자 아파트 앞,20,서울특별시 강동구 천호대로 1240 프라자아파트,,37.53596115,127.14781952,0,0,46
강동구,ST-1045,01028,포레스 주상복합 빌딩,1028. 포레스 주상복합 빌딩,10,서울특별시 강동구 천호옛길 41 포레스아파트,,37.53310776,127.12277222,0,0,47
강동구,ST-1046,01029,성내어울터,1029. 성내어울터,7,서울특별시 강동구 성내동 43-2,,37.53655624,127.12553406,0,0,48
강동구,ST-1047,01030,미호 플랜트 앞,1030. 미호 플랜트 앞,15,서울특별시 강동구 강동대로 143-22,,37.52703094,127.12206268,0,0,49
강동구,ST-1048,01031,올림픽로 836(아리수로),1031. 올림픽로 836(아리수로),15,서울특별시 강동구 암사동 440,,37.55604172,127.13093567,0,0,50
강동구,ST-1049,01032,선사고등학교,1032. 선사고등학교,20,서울특별시 강동구 암사동 524,,37.55672836,127.13626099,0,0,51
성동구,ST-105,00508,성수아카데미타워 앞,508. 성수아카데미타워 앞,10,서울특별시 성동구 성수이로 118 성수아카데미타워,,37.54516983,127.05757141,0,0,52
강동구,ST-1050,01033,고덕동 아남아파트,1033. 고덕동 아남아파트,17,서울특별시 강동구 고덕동 469,,37.55793381,127.14476776,0,0,53
강동구,ST-1051,01034,고덕동 래미안 힐스테이트,1034. 고덕동 래미안 힐스테이트,15,서울특별시 강동구 고덕동 585-4,,37.56187820,127.15078735,0,0,54
강동구,ST-1052,01035,고덕역 4번출구,1035. 고덕역 4번출구,25,서울특별시 강동구 명일동 46-6,,37.55509567,127.15528107,0,0,55
강동구,ST-1053,01036,고덕동 주양쇼핑,1036. 고덕동 주양쇼핑,10,서울특별시 강동구 명일동 48-25,,37.55199051,127.15331268,0,0,56
강동구,ST-1054,01037,강일리버파크 6단지,1037. 강일리버파크 6단지,10,서울특별시 강동구 강일동 684-2,,37.56256485,127.17761230,0,0,57
강동구,ST-1055,01038,강일 다솜 어린이 공원,1038. 강일 다솜 어린이 공원,10,서울특별시 강동구 강일동 667-4,,37.56863785,127.17480469,0,0,58
강동구,ST-1056,01039,고덕초등학교,1039. 고덕초등학교,7,서울특별시 강동구 고덕로83길 55,,37.56129837,127.16784668,0,0,59
